paper_id,title,abstract,publish_time,journal,source_x
1,Clinical features of COVID-19,A study of clinical features of COVID-19 patients,2020-02-15,New England Journal of Medicine,medrxiv
2,SARS-CoV-2 transmission dynamics,Transmission dynamics and control of SARS-CoV-2,2020-03-10,The Lancet,pmc
3,Impact of public health interventions,Assessing interventions for COVID-19 spread,2021-05-20,PLOS One,pmc
4,Vaccine efficacy in elderly,Evaluation of vaccine responses in older adults,2021-08-02,Vaccine,pmc
5,Genomic characterization of SARS-CoV-2,Genomic analysis of early isolates,2020-01-30,Cell,pmc
6,Mental health during pandemic,Survey of mental health impacts of COVID-19,2020-06-01,BMC Public Health,medrxiv
7,Long COVID symptoms characterization,Long-term symptoms after acute infection,2022-02-14,JAMA,pmc
8,Diagnostic testing improvements,Improvements in PCR testing for SARS-CoV-2,2019-12-10,Journal of Clinical Microbiology,pmc
9,Treatment with antivirals,A trial of antiviral therapy in mild cases,2020-04-05,Clinical Infectious Diseases,medrxiv
10,Modeling epidemic waves,Mathematical models of epidemic waves,2021-11-11,Mathematical Biosciences,pmc
11,Airborne transmission evidence,Evidence for airborne spread in indoor spaces,2020-07-22,Indoor Air,pmc
12,Children and COVID-19,Clinical outcomes in children with COVID-19,2021-09-30,Pediatrics,pmc
